image,label,size,width,height,mode,format
i - 307.jpeg,iconography,27420,292,320,RGB,JPEG
2060.jpg,painting,13688,290,213,RGB,JPEG
i - 289.jpeg,drawings,47196,480,314,RGB,JPEG
0840.jpg,painting,11693,290,226,RGB,JPEG
i - 1286.jpeg,iconography,33107,427,320,RGB,JPEG
i - 336.jpeg,iconography,24872,268,320,RGB,JPEG
0053.jpg,painting,12870,290,356,RGB,JPEG
i - 1079.jpeg,iconography,25387,268,320,RGB,JPEG
i - 839.jpeg,sculpture,6721,179,320,RGB,JPEG
1514.jpg,painting,14272,290,365,RGB,JPEG
i - 888.jpeg,drawings,37522,256,320,RGB,JPEG
i - 862.jpeg,drawings,30258,474,317,RGB,JPEG
312 20.26.19.jpg,iconography,23121,336,446,RGB,JPEG
i - 3.jpeg,iconography,27472,269,320,RGB,JPEG
i - 1180.jpeg,drawings,41359,362,320,RGB,JPEG
3601_mainfoto_05.jpg,sculpture,11303,290,434,RGB,JPEG
0976.jpg,painting,13666,290,360,RGB,JPEG
i - 192.jpeg,engraving,16770,244,320,RGB,JPEG
i - 848.jpeg,sculpture,16229,480,231,RGB,JPEG
i - 993.jpeg,iconography,26252,427,320,RGB,JPEG
i - 1453.jpeg,iconography,19479,235,320,RGB,JPEG
i - 949.jpeg,sculpture,19679,480,320,RGB,JPEG
0306.jpg,painting,11578,290,371,RGB,JPEG
i - 584.jpeg,iconography,14947,274,320,RGB,JPEG
2017.jpg,painting,12973,290,360,RGB,JPEG
i - 161.jpeg,drawings,15496,178,320,RGB,JPEG
326.jpg,engraving,56251,341,480,RGB,JPEG
674.jpg,iconography,113746,670,800,RGB,JPEG
i - 425.jpeg,drawings,24980,454,320,RGB,JPEG
i - 738.jpeg,iconography,28534,240,320,RGB,JPEG
0778.jpg,painting,14668,290,300,RGB,JPEG
i - 1156.jpeg,drawings,26263,269,320,RGB,JPEG
1151.jpg,painting,7275,290,231,RGB,JPEG
348.jpg,iconography,103779,600,399,RGB,JPEG
i - 1518.jpeg,iconography,88249,800,800,RGB,JPEG
0508.jpg,painting,8950,290,359,RGB,JPEG
1377.jpg,painting,5795,290,204,RGB,JPEG
525.jpg,iconography,96177,390,400,RGB,JPEG
0098.jpg,painting,17526,290,376,RGB,JPEG
2213.jpg,painting,11480,290,320,RGB,JPEG
i - 766.jpeg,drawings,15395,241,320,RGB,JPEG
i - 718.jpeg,iconography,27206,320,320,RGB,JPEG
3335_mainfoto_05.jpg,engraving,20302,290,201,RGB,JPEG
0960.jpg,painting,13767,290,210,RGB,JPEG
i - 865.jpeg,iconography,30478,299,320,RGB,JPEG
1466.jpg,painting,12547,290,377,RGB,JPEG
698.jpg,iconography,94134,480,600,RGB,JPEG
243.jpg,engraving,194361,626,800,RGB,JPEG
0468.jpg,painting,14564,290,361,RGB,JPEG
i - 857.jpeg,iconography,17907,240,320,RGB,JPEG
i - 612.jpeg,iconography,26950,281,320,RGB,JPEG
i - 1120.jpeg,iconography,12871,240,320,RGB,JPEG
1384.jpg,painting,12329,290,405,RGB,JPEG
1973.jpg,painting,17526,290,376,RGB,JPEG
i - 1123.jpeg,sculpture,42260,480,320,RGB,JPEG
0104.jpg,painting,18858,290,352,RGB,JPEG
i - 130.jpeg,engraving,25456,233,320,RGB,JPEG
i - 232 20.26.46.jpeg,sculpture,37611,410,320,RGB,JPEG
142.jpg,sculpture,103218,800,600,RGB,JPEG
i - 1569.jpeg,iconography,20311,240,320,RGB,JPEG
i - 598.jpeg,engraving,30872,248,320,RGB,JPEG
i - 950.jpeg,iconography,38388,427,320,RGB,JPEG
i - 697.jpeg,drawings,22431,420,320,RGB,JPEG
81.jpg,engraving,45168,320,400,RGB,JPEG
i - 509.jpeg,iconography,28539,252,320,RGB,JPEG
1742.jpg,painting,12973,290,360,RGB,JPEG
0895.jpg,painting,13909,290,388,RGB,JPEG
1574.jpg,painting,14740,290,356,RGB,JPEG
1668.jpg,painting,14564,290,361,RGB,JPEG
i - 662.jpeg,drawings,16178,240,320,RGB,JPEG
i - 718.jpeg,drawings,16635,420,300,RGB,JPEG
i - 237.jpeg,iconography,26346,355,320,RGB,JPEG
1649.jpg,painting,14740,290,356,RGB,JPEG
i - 1035.jpeg,sculpture,5354,320,320,RGB,JPEG
1614.jpg,painting,14272,290,365,RGB,JPEG
74.jpg,iconography,188490,630,900,RGB,JPEG
i - 707.jpeg,sculpture,28820,480,320,RGB,JPEG
45 18.59.45.jpg,sculpture,35003,700,700,RGB,JPEG
i - 1158.jpeg,sculpture,12256,300,320,RGB,JPEG
i - 1185.jpeg,sculpture,7320,238,320,RGB,JPEG
i - 913.jpeg,iconography,19427,427,320,RGB,JPEG
3372_mainfoto_05.jpg,drawings,12615,290,197,RGB,JPEG
i - 522.jpeg,iconography,17140,213,320,RGB,JPEG
2045.jpg,painting,13909,290,388,RGB,JPEG
280.jpg,sculpture,57467,709,935,RGB,JPEG
1536.jpg,painting,9446,290,395,RGB,JPEG
1498.jpg,painting,17526,290,376,RGB,JPEG
i - 977.jpeg,iconography,20221,320,320,RGB,JPEG
1611.jpg,painting,10151,290,142,RGB,JPEG
i - 1075.jpeg,sculpture,10999,230,320,RGB,JPEG
721.jpg,iconography,87584,550,663,RGB,JPEG
361.jpg,iconography,102303,352,500,RGB,JPEG
298.jpg,iconography,77098,500,729,RGB,JPEG
548.jpg,iconography,175124,745,964,RGB,JPEG
i - 1198.jpeg,sculpture,58046,478,320,RGB,JPEG
i - 946.jpeg,drawings,28564,217,320,RGB,JPEG
images (74).jpeg,drawings,9729,277,182,RGB,JPEG
1936.jpg,painting,12282,290,135,RGB,JPEG
i - 368.jpeg,iconography,14139,427,320,RGB,JPEG
2277.jpg,painting,15771,290,242,RGB,JPEG
i - 295.jpeg,engraving,30808,257,320,RGB,JPEG
i - 1054.jpeg,drawings,30666,289,320,RGB,JPEG
1228.jpg,painting,22673,290,376,RGB,JPEG
i - 1292.jpeg,sculpture,15043,320,320,RGB,JPEG
620.jpg,iconography,158067,532,690,RGB,JPEG
i - 322.jpeg,engraving,24501,273,320,RGB,JPEG
0117.jpg,painting,12973,290,360,RGB,JPEG
i - 1401.jpeg,iconography,24422,240,320,RGB,JPEG
1908.jpg,painting,13026,290,422,RGB,JPEG
2316.jpg,painting,12547,290,377,RGB,JPEG
0649.jpg,painting,14740,290,356,RGB,JPEG
1405.jpg,painting,9514,290,359,RGB,JPEG
i - 1183.jpeg,drawings,14075,408,320,RGB,JPEG
i - 164.jpeg,drawings,42419,433,320,RGB,JPEG
i - 117.jpeg,sculpture,15924,213,320,RGB,JPEG
i - 686.jpeg,iconography,36758,480,320,RGB,JPEG
2165.jpg,painting,11693,290,226,RGB,JPEG
2256.jpg,painting,27441,290,498,RGB,JPEG
i - 729.jpeg,iconography,27976,246,320,RGB,JPEG
0114.jpg,painting,14272,290,365,RGB,JPEG
1609.jpg,painting,6720,290,241,RGB,JPEG
i - 544 20.26.19.jpeg,iconography,18931,240,320,RGB,JPEG
1644.jpg,painting,16074,290,330,RGB,JPEG
236.jpg,iconography,425615,600,772,RGB,JPEG
1040.jpg,painting,11693,290,226,RGB,JPEG
i - 952.jpeg,drawings,34247,253,320,RGB,JPEG
2669_mainfoto_05.jpg,iconography,38359,290,498,RGB,JPEG
i - 126.jpeg,iconography,16080,240,320,RGB,JPEG
97.jpg,iconography,232600,600,709,RGB,JPEG
i - 1356.jpeg,iconography,29342,269,320,RGB,JPEG
i - 830.jpeg,drawings,11936,243,320,RGB,JPEG
1269.jpg,painting,16074,290,330,RGB,JPEG
i - 788.jpeg,drawings,10290,247,320,RGB,JPEG
3426_mainfoto_05.jpg,drawings,15654,290,386,RGB,JPEG
i - 795.jpeg,sculpture,6887,315,320,RGB,JPEG
i - 634.jpeg,sculpture,8655,245,320,RGB,JPEG
i - 1083.jpeg,iconography,13379,214,320,RGB,JPEG
i - 324.jpeg,iconography,26040,240,320,RGB,JPEG
286.jpg,engraving,65861,718,369,RGB,JPEG
231.jpg,iconography,131434,640,768,RGB,JPEG
i - 272.jpeg,sculpture,11546,240,320,RGB,JPEG
i - 75.jpeg,sculpture,25457,480,319,RGB,JPEG
0220.jpg,painting,13909,290,388,RGB,JPEG
407.jpg,iconography,263015,1000,609,RGB,JPEG
1501.jpg,painting,6695,290,180,RGB,JPEG
i - 1376.jpeg,iconography,29365,320,320,RGB,JPEG
i - 536.jpeg,drawings,6118,247,320,RGB,JPEG
i - 1345.jpeg,sculpture,22160,347,320,RGB,JPEG
61.jpg,iconography,272293,700,857,RGB,JPEG
i - 93.jpeg,drawings,39831,347,320,RGB,JPEG
0552.jpg,painting,11828,290,351,RGB,JPEG
i - 1228.jpeg,sculpture,30404,480,320,RGB,JPEG
0817.jpg,painting,12973,290,360,RGB,JPEG
1340.jpg,painting,11693,290,226,RGB,JPEG
5.jpg,sculpture,49240,650,650,RGB,JPEG
i - 690.jpeg,drawings,11689,238,320,RGB,JPEG
0360.jpg,painting,14584,290,352,RGB,JPEG
download (14).jpeg,drawings,7018,191,264,RGB,JPEG
208.jpg,engraving,74829,314,450,RGB,JPEG
184 18.59.45 20.26.46.jpg,sculpture,82860,640,480,RGB,JPEG
179.jpg,iconography,27828,336,438,RGB,JPEG
1065.jpg,painting,11693,290,226,RGB,JPEG
i - 83.jpeg,engraving,32349,254,320,RGB,JPEG
i - 227.jpeg,sculpture,9059,218,320,RGB,JPEG
i - 680.jpeg,drawings,22506,235,320,RGB,JPEG
i - 834.jpeg,sculpture,25643,427,320,RGB,JPEG
i - 420.jpeg,iconography,20002,278,320,RGB,JPEG
238.jpg,iconography,183967,550,667,RGB,JPEG
i - 1106 20.26.19.jpeg,iconography,25422,272,320,RGB,JPEG
0757.jpg,painting,14564,290,361,RGB,JPEG
i - 1073.jpeg,sculpture,25006,480,317,RGB,JPEG
0296.jpg,painting,7854,290,387,RGB,JPEG
i - 859.jpeg,drawings,37864,473,320,RGB,JPEG
i - 456.jpeg,drawings,17766,240,320,RGB,JPEG
4586_mainfoto_05.jpg,sculpture,13264,290,427,RGB,JPEG
i - 852.jpeg,iconography,38315,427,320,RGB,JPEG
i - 2.jpeg,sculpture,45423,478,320,RGB,JPEG
29.jpg,iconography,59348,638,350,RGB,JPEG
images (86).jpeg,drawings,13436,280,180,RGB,JPEG
641.jpg,iconography,94525,600,690,RGB,JPEG
239.jpg,iconography,93561,310,413,RGB,JPEG
0382.jpg,painting,14200,290,152,RGB,JPEG
i - 1136.jpeg,drawings,21366,251,320,RGB,JPEG
i - 833.jpeg,drawings,53232,480,304,RGB,JPEG
178.jpg,iconography,325262,900,800,RGB,JPEG
i - 61.jpeg,drawings,39213,480,263,RGB,JPEG
i - 1012.jpeg,sculpture,12843,333,320,RGB,JPEG
1166.jpg,painting,12547,290,377,RGB,JPEG
0467.jpg,painting,12973,290,360,RGB,JPEG
1471.jpg,painting,7854,290,387,RGB,JPEG
i - 251.jpeg,engraving,25843,235,320,RGB,JPEG
2192.jpg,painting,12973,290,360,RGB,JPEG
i - 104.jpeg,sculpture,23928,337,320,RGB,JPEG
0977.jpg,painting,9893,290,369,RGB,JPEG
i - 53.jpeg,iconography,20309,390,130,RGB,JPEG
1256.jpg,painting,13385,290,375,RGB,JPEG
0513.jpg,painting,11480,290,320,RGB,JPEG
i - 1103.jpeg,drawings,23491,260,320,RGB,JPEG
0206.jpg,painting,9550,290,166,RGB,JPEG
i - 29.jpeg,iconography,22075,263,320,RGB,JPEG
i - 939.jpeg,drawings,22754,209,320,RGB,JPEG
i - 789.jpeg,drawings,22742,232,320,RGB,JPEG
i - 896 20.26.19.jpeg,iconography,26118,240,320,RGB,JPEG
i - 222.jpeg,drawings,36392,266,320,RGB,JPEG
i - 468.jpeg,iconography,33848,256,320,RGB,JPEG
i - 115.jpeg,iconography,11562,240,320,RGB,JPEG
1123.jpg,painting,17526,290,376,RGB,JPEG
409.jpg,iconography,514283,628,792,RGB,JPEG
2078.jpg,painting,12367,290,206,RGB,JPEG
i - 700.jpeg,sculpture,11155,426,320,RGB,JPEG
i - 1073.jpeg,drawings,23014,460,320,RGB,JPEG
2343.jpg,painting,14564,290,361,RGB,JPEG
0483.jpg,painting,8748,290,338,RGB,JPEG
1314.jpg,painting,14272,290,365,RGB,JPEG
i - 1393.jpeg,iconography,28886,320,320,RGB,JPEG
i - 350.jpeg,engraving,18791,318,320,RGB,JPEG
327.jpg,sculpture,36342,533,671,RGB,JPEG
706.jpg,iconography,110762,701,963,RGB,JPEG
i - 140.jpeg,sculpture,16162,430,320,RGB,JPEG
107.jpg,engraving,141263,1000,658,RGB,JPEG
i - 235.jpeg,iconography,30072,234,320,RGB,JPEG
i - 296.jpeg,engraving,24535,210,320,RGB,JPEG
i - 305.jpeg,engraving,12283,218,320,RGB,JPEG
597.jpg,iconography,47266,411,296,RGB,JPEG
i - 780.jpeg,drawings,14502,240,320,RGB,JPEG
1244.jpg,painting,16074,290,330,RGB,JPEG
i - 15.jpeg,engraving,52418,444,320,RGB,JPEG
i - 241.jpeg,sculpture,12351,213,320,RGB,JPEG
i - 1150.jpeg,drawings,17647,246,320,RGB,JPEG
i - 59.jpeg,sculpture,16043,480,320,RGB,JPEG
i - 803.jpeg,sculpture,7049,254,320,RGB,JPEG
i - 1214.jpeg,sculpture,9826,227,320,RGB,JPEG
i - 147.jpeg,engraving,52853,480,316,RGB,JPEG
2359.jpg,painting,11480,290,320,RGB,JPEG
i - 369.jpeg,drawings,9462,243,320,RGB,JPEG
1741.jpg,painting,12547,290,377,RGB,JPEG
i - 1460.jpeg,iconography,26346,320,320,RGB,JPEG
2137.jpg,painting,17160,290,241,RGB,JPEG
1490.jpg,painting,11693,290,226,RGB,JPEG
2141.jpg,painting,12547,290,377,RGB,JPEG
0433.jpg,painting,14756,290,151,RGB,JPEG
i - 1134.jpeg,drawings,33547,417,320,RGB,JPEG
569.jpeg,iconography,193372,575,695,RGB,JPEG
1220.jpg,painting,13909,290,388,RGB,JPEG
i - 739.jpeg,iconography,13190,240,320,RGB,JPEG
0570.jpg,painting,13909,290,388,RGB,JPEG
4589_mainfoto_05.jpg,sculpture,11931,290,434,RGB,JPEG
i - 214.jpeg,sculpture,6429,320,320,RGB,JPEG
i - 865.jpeg,sculpture,10019,457,320,RGB,JPEG
i - 207.jpeg,sculpture,29116,479,320,RGB,JPEG
i - 1362.jpeg,iconography,18753,240,320,RGB,JPEG
i - 935.jpeg,drawings,16569,480,199,RGB,JPEG
i - 195.jpeg,drawings,30173,400,305,RGB,JPEG
i - 618.jpeg,drawings,33224,456,320,RGB,JPEG
i - 294.jpeg,engraving,19287,452,320,RGB,JPEG
i - 312.jpeg,sculpture,25729,239,320,RGB,JPEG
1841.jpg,painting,12547,290,377,RGB,JPEG
i - 1032.jpeg,sculpture,12745,320,320,RGB,JPEG
0237.jpg,painting,14694,290,367,RGB,JPEG
0304.jpg,painting,17025,290,384,RGB,JPEG
0544.jpg,painting,16074,290,330,RGB,JPEG
0822.jpg,painting,10540,290,244,RGB,JPEG
0110.jpg,painting,16074,290,330,RGB,JPEG
i - 1436.jpeg,iconography,25610,258,320,RGB,JPEG
744.jpg,iconography,659449,601,800,RGB,JPEG
292.jpg,iconography,47039,403,566,RGB,JPEG
1648.jpg,painting,17526,290,376,RGB,JPEG
i - 466.jpeg,engraving,24465,241,320,RGB,JPEG
i - 214.jpeg,engraving,41390,331,320,RGB,JPEG
i - 663.jpeg,iconography,19733,240,320,RGB,JPEG
i - 74.jpeg,drawings,54277,454,320,RGB,JPEG
i - 762.jpeg,sculpture,31560,480,320,RGB,JPEG
545.jpg,iconography,135183,557,700,RGB,JPEG
i - 1437.jpeg,sculpture,8294,213,320,RGB,JPEG
280.jpg,iconography,49789,361,450,RGB,JPEG
2320.jpg,painting,13909,290,388,RGB,JPEG
i - 374 20.26.47.jpeg,sculpture,6244,240,320,RGB,JPEG
291.jpg,engraving,66150,445,550,RGB,JPEG
95.jpeg,engraving,45872,298,450,RGB,JPEG
8197_mainfoto_05.jpg,drawings,53895,290,451,RGB,JPEG
i - 881.jpeg,sculpture,29542,480,245,RGB,JPEG
i - 640.jpeg,iconography,36497,280,320,RGB,JPEG
i - 848.jpeg,iconography,18091,268,320,RGB,JPEG
0169.jpg,painting,16074,290,330,RGB,JPEG
1579.jpg,painting,5458,290,199,RGB,JPEG
1167.jpg,painting,12973,290,360,RGB,JPEG
0808.jpg,painting,7988,290,368,RGB,JPEG
i - 1203.jpeg,sculpture,23939,240,320,RGB,JPEG
i - 425.jpeg,engraving,11834,206,320,RGB,JPEG
i - 1175.jpeg,drawings,26419,265,320,RGB,JPEG
0031.jpg,painting,16265,290,528,RGB,JPEG
i - 1000.jpeg,sculpture,8121,194,320,RGB,JPEG
i - 799.jpeg,drawings,29017,417,320,RGB,JPEG
i - 1039.jpeg,drawings,13197,219,320,RGB,JPEG
66.jpg,sculpture,89547,700,425,RGB,JPEG
i - 1476.jpeg,iconography,30468,251,320,RGB,JPEG
i - 939.jpeg,iconography,22266,320,320,RGB,JPEG
1557.jpg,painting,10393,290,223,RGB,JPEG
i - 44.jpeg,iconography,29632,266,320,RGB,JPEG
i - 592.jpeg,drawings,41661,480,301,RGB,JPEG
3415_mainfoto_05.jpg,drawings,26486,290,406,RGB,JPEG
2187.jpg,painting,28870,290,367,RGB,JPEG
160.jpeg,iconography,178923,631,757,RGB,JPEG
2084.jpg,painting,19548,290,227,RGB,JPEG
i - 593.jpeg,iconography,27110,480,270,RGB,JPEG
1227.jpg,painting,18093,290,385,RGB,JPEG
2328_mainfoto_05.jpg,drawings,19072,290,438,RGB,JPEG
451.jpg,iconography,222666,683,1024,RGB,JPEG
232.jpg,iconography,86941,550,700,RGB,JPEG
i - 1021.jpeg,iconography,20653,320,320,RGB,JPEG
i - 1244.jpeg,iconography,18818,290,320,RGB,JPEG
1924.jpg,painting,14740,290,356,RGB,JPEG
i - 514.jpeg,sculpture,20695,201,320,RGB,JPEG
i - 808.jpeg,iconography,24846,239,320,RGB,JPEG
i - 188.jpeg,iconography,18960,283,320,RGB,JPEG
267.jpg,iconography,74728,640,360,RGB,JPEG
i - 1146.jpeg,iconography,30253,427,320,RGB,JPEG
402.jpg,sculpture,1264213,2016,1512,RGB,JPEG
i - 392.jpeg,sculpture,11858,259,320,RGB,JPEG
i - 1406.jpeg,sculpture,29453,480,320,RGB,JPEG
1109.jpg,painting,16211,290,470,RGB,JPEG
i - 666.jpeg,iconography,21938,296,320,RGB,JPEG
379.jpg,sculpture,69019,600,800,RGB,JPEG
1071.jpg,painting,7854,290,387,RGB,JPEG
0561.jpg,painting,12350,290,204,RGB,JPEG
1265.jpg,painting,11693,290,226,RGB,JPEG
i - 309.jpeg,iconography,18650,320,320,RGB,JPEG
i - 180.jpeg,sculpture,30916,332,320,RGB,JPEG
1205.jpg,painting,7859,290,211,RGB,JPEG
2118.jpg,painting,14564,290,361,RGB,JPEG
i - 932.jpeg,drawings,18735,218,320,RGB,JPEG
i - 1097.jpeg,sculpture,34411,480,317,RGB,JPEG
i - 580.jpeg,sculpture,26614,427,320,RGB,JPEG
1483.jpg,painting,6616,290,181,RGB,JPEG
1771.jpg,painting,7854,290,387,RGB,JPEG
398.jpg,iconography,104789,375,400,RGB,JPEG
0295.jpg,painting,13909,290,388,RGB,JPEG
0152.jpg,painting,10908,290,365,RGB,JPEG
i - 70.jpeg,iconography,31172,343,320,RGB,JPEG
i - 27.jpeg,sculpture,17002,240,320,RGB,JPEG
1601_mainfoto_05.jpg,drawings,8891,290,191,RGB,JPEG
0562.jpg,painting,15483,290,390,RGB,JPEG
i - 777.jpeg,drawings,17723,464,320,RGB,JPEG
0852.jpg,painting,17887,290,361,RGB,JPEG
i - 162.jpeg,sculpture,10340,233,320,RGB,JPEG
0777.jpg,painting,9992,290,364,RGB,JPEG
0393.jpg,painting,14564,290,361,RGB,JPEG
i - 1219.jpeg,iconography,20006,357,320,RGB,JPEG
i - 128.jpeg,iconography,28251,320,320,RGB,JPEG
i - 1490.jpeg,sculpture,6263,221,320,RGB,JPEG
2361.jpg,painting,11693,290,226,RGB,JPEG
2081.jpg,painting,29745,290,434,RGB,JPEG
i - 921.jpeg,sculpture,9763,231,320,RGB,JPEG
i - 297.jpeg,iconography,26160,267,320,RGB,JPEG
i - 54.jpeg,sculpture,29415,472,320,RGB,JPEG
i - 514.jpeg,iconography,16193,261,320,RGB,JPEG
i - 619.jpeg,sculpture,21905,480,314,RGB,JPEG
510.jpg,iconography,508098,575,862,RGB,JPEG
194.jpg,sculpture,122842,514,400,RGB,JPEG
i - 1108.jpeg,iconography,16825,251,320,RGB,JPEG
i - 1246.jpeg,iconography,19190,240,320,RGB,JPEG
i - 440.jpeg,iconography,18188,240,320,RGB,JPEG
i - 1338.jpeg,iconography,36008,427,320,RGB,JPEG
1419.jpg,painting,16074,290,330,RGB,JPEG
i - 1163.jpeg,iconography,19437,320,320,RGB,JPEG
i - 163.jpeg,drawings,18454,245,320,RGB,JPEG
i - 223.jpeg,iconography,19278,213,320,RGB,JPEG
i - 219.jpeg,iconography,27788,271,320,RGB,JPEG
1784.jpg,painting,8084,290,167,RGB,JPEG
1805.jpg,painting,9398,290,178,RGB,JPEG
1823.jpg,painting,17526,290,376,RGB,JPEG
0305.jpg,painting,11474,290,370,RGB,JPEG
1017.jpg,painting,12973,290,360,RGB,JPEG
i - 250.jpeg,iconography,33174,270,320,RGB,JPEG
i - 807.jpeg,drawings,17236,240,320,RGB,JPEG
1933.jpg,painting,22819,290,410,RGB,JPEG
1372.jpg,painting,10540,290,244,RGB,JPEG
i - 1154.jpeg,iconography,25831,427,320,RGB,JPEG
i - 22.jpeg,iconography,35044,275,320,RGB,JPEG
i - 345.jpeg,engraving,21697,215,320,RGB,JPEG
215.jpg,sculpture,50593,800,600,RGB,JPEG
i - 685.jpeg,drawings,4883,205,320,RGB,JPEG
i - 924.jpeg,iconography,35450,276,320,RGB,JPEG
2257.jpg,painting,16287,290,251,RGB,JPEG
271.png,engraving,124889,550,372,RGB,PNG
229.jpg,sculpture,37700,524,800,RGB,JPEG
i - 409.jpeg,iconography,24780,240,320,RGB,JPEG
3446_mainfoto_05.jpg,drawings,13600,290,208,RGB,JPEG
i - 563.jpeg,sculpture,14036,214,320,RGB,JPEG
0376.jpg,painting,11253,290,352,RGB,JPEG
253.jpg,iconography,85530,525,620,RGB,JPEG
1456.jpg,painting,8044,290,194,RGB,JPEG
i - 335.jpeg,iconography,14878,240,320,RGB,JPEG
i - 917.jpeg,drawings,21230,400,320,RGB,JPEG
2123.jpg,painting,17526,290,376,RGB,JPEG
i - 1086.jpeg,iconography,29531,320,320,RGB,JPEG
1749.jpg,painting,14740,290,356,RGB,JPEG
329.jpg,iconography,102092,600,325,RGB,JPEG
1277.jpg,painting,22258,290,368,RGB,JPEG
i - 1211.jpeg,iconography,15026,246,320,RGB,JPEG
i - 999.jpeg,sculpture,7972,213,320,RGB,JPEG
115.jpg,iconography,76346,373,450,RGB,JPEG
i - 1440.jpeg,iconography,20610,320,320,RGB,JPEG
4474_mainfoto_05.jpg,sculpture,16414,290,548,RGB,JPEG
2271.jpg,painting,7854,290,387,RGB,JPEG
i - 151.jpeg,sculpture,11769,321,320,RGB,JPEG
images (77).jpeg,drawings,7017,276,183,RGB,JPEG
i - 1148.jpeg,iconography,15723,320,320,RGB,JPEG
0517.jpg,painting,12973,290,360,RGB,JPEG
1718.jpg,painting,14564,290,361,RGB,JPEG
i - 934.jpeg,drawings,24757,318,320,RGB,JPEG
303.jpg,engraving,51045,342,450,RGB,JPEG
633.jpg,iconography,42190,500,625,RGB,JPEG
71.jpg,engraving,451979,904,604,RGB,JPEG
i - 454.jpeg,engraving,47536,456,320,RGB,JPEG
i - 323.jpeg,iconography,43036,477,320,RGB,JPEG
i - 1570.jpeg,iconography,142389,800,800,RGB,JPEG
284.jpg,iconography,77043,472,570,RGB,JPEG
i - 1418.jpeg,sculpture,8739,133,320,RGB,JPEG
1923.jpg,painting,17526,290,376,RGB,JPEG
i - 208.jpeg,sculpture,17615,320,320,RGB,JPEG
i - 126.jpeg,drawings,20110,218,320,RGB,JPEG
0248.jpg,painting,17526,290,376,RGB,JPEG
i - 1300.jpeg,sculpture,6335,213,320,RGB,JPEG
0481.jpg,painting,14504,290,340,RGB,JPEG
i - 1458.jpeg,iconography,23441,242,320,RGB,JPEG
170.jpg,engraving,15757,600,331,RGB,JPEG
0087.jpg,painting,17328,290,333,RGB,JPEG
i - 1457.jpeg,iconography,20852,291,320,RGB,JPEG
i - 1148.jpeg,drawings,22131,426,320,RGB,JPEG
0244.jpg,painting,16074,290,330,RGB,JPEG
i - 821.jpeg,sculpture,21849,480,320,RGB,JPEG
244.jpg,sculpture,79689,640,1028,RGB,JPEG
i - 329.jpeg,drawings,54296,473,320,RGB,JPEG
i - 512.jpeg,drawings,16133,228,320,RGB,JPEG
i - 108.jpeg,iconography,12925,409,320,RGB,JPEG
i - 562.jpeg,sculpture,27219,480,300,RGB,JPEG
i - 1007.jpeg,iconography,34629,427,320,RGB,JPEG
2116.jpg,painting,12547,290,377,RGB,JPEG
i - 1510.jpeg,iconography,27440,427,320,RGB,JPEG
i - 723.jpeg,sculpture,48632,480,320,RGB,JPEG
i - 167.jpeg,iconography,31533,269,320,RGB,JPEG
i - 13.jpeg,drawings,14138,238,320,RGB,JPEG
i - 582.jpeg,sculpture,7964,320,320,RGB,JPEG
i - 699.jpeg,drawings,16244,230,320,RGB,JPEG
i - 1118.jpeg,sculpture,10014,211,320,RGB,JPEG
322.jpg,sculpture,40115,478,385,RGB,JPEG
i - 784.jpeg,sculpture,14274,272,320,RGB,JPEG
i - 896.jpeg,sculpture,9908,240,320,RGB,JPEG
1913.jpg,painting,11480,290,320,RGB,JPEG
0629.jpg,painting,17889,290,364,RGB,JPEG
1827.jpg,painting,14006,290,176,RGB,JPEG
i - 1025.jpeg,drawings,12836,208,320,RGB,JPEG
1397.jpg,painting,10540,290,244,RGB,JPEG
1171.jpg,painting,7854,290,387,RGB,JPEG
0127.jpg,painting,9992,290,364,RGB,JPEG
1819.jpg,painting,16074,290,330,RGB,JPEG
i - 1343.jpeg,sculpture,12892,289,320,RGB,JPEG
i - 112.jpeg,drawings,25188,217,320,RGB,JPEG
i - 362.jpeg,engraving,25144,201,320,RGB,JPEG
i - 493.jpeg,engraving,15444,196,320,RGB,JPEG
1106.jpg,painting,19274,290,378,RGB,JPEG
i - 1179.jpeg,sculpture,52869,480,317,RGB,JPEG
i - 341.jpeg,drawings,34437,460,306,RGB,JPEG
2260_mainfoto_05.jpg,drawings,17682,290,504,RGB,JPEG
i - 113.jpeg,iconography,17198,240,320,RGB,JPEG
475.jpg,iconography,320224,617,777,RGB,JPEG
i - 509.jpeg,sculpture,19637,480,178,RGB,JPEG
0352.jpg,painting,10851,290,388,RGB,JPEG
350 18.59.20.jpg,iconography,49027,302,400,RGB,JPEG
0712.jpg,painting,15720,290,378,RGB,JPEG
180.jpg,engraving,59654,368,500,RGB,JPEG
i - 176.jpeg,iconography,39725,480,317,RGB,JPEG
i - 140.jpeg,drawings,10310,223,320,RGB,JPEG
i - 325.jpeg,engraving,30827,248,320,RGB,JPEG
741.jpg,iconography,59511,328,400,RGB,JPEG
i - 281.jpeg,drawings,19956,224,320,RGB,JPEG
0069.jpg,painting,16074,290,330,RGB,JPEG
i - 986.jpeg,sculpture,40734,427,320,RGB,JPEG
689.jpg,iconography,486468,700,1013,RGB,JPEG
1274.jpg,painting,14740,290,356,RGB,JPEG
i - 429.jpeg,drawings,13778,205,320,RGB,JPEG
1049.jpg,painting,14740,290,356,RGB,JPEG
26.jpg,engraving,153864,987,600,RGB,JPEG
i - 1229.jpeg,iconography,37910,427,320,RGB,JPEG
